"Date","Open","High","Low","Close"
"01 Sep 2020","23893.80","24199.65","23473.15","23812.00"
"31 Aug 2020","25038.80","25232.60","23385.30","23754.35"
"28 Aug 2020","23635.30","24611.80","23599.20","24523.80"
"27 Aug 2020","23511.45","23704.05","23464.15","23600.35"
"26 Aug 2020","23175.55","23453.40","23093.15","23414.20"
"25 Aug 2020","22973.40","23180.30","22857.90","23092.15"
"24 Aug 2020","22436.85","22897.50","22410.05","22833.00"
"21 Aug 2020","22190.70","22344.05","22165.05","22299.60"
"20 Aug 2020","21989.90","22079.90","21886.70","21999.45"
"19 Aug 2020","22315.40","22419.35","22234.25","22285.90"
"17 Aug 2020","21906.95","21909.40","21403.15","21700.85"
"14 Aug 2020","22334.95","22334.95","21459.10","21679.40"
"13 Aug 2020","22395.20","22439.95","22139.60","22196.35"
"12 Aug 2020","22135.95","22326.55","21990.20","22264.00"
"11 Aug 2020","22050.20","22277.60","22039.85","22227.20"
"10 Aug 2020","21824.90","22071.95","21795.10","21900.25"
"07 Aug 2020","21620.25","21787.25","21451.30","21754.00"
"06 Aug 2020","21644.25","21926.55","21370.30","21642.60"
"05 Aug 2020","21686.85","21936.50","21448.40","21509.95"
"04 Aug 2020","21248.25","21576.35","21057.75","21490.50"
"03 Aug 2020","21543.80","21543.80","21031.45","21072.10"
"31 Jul 2020","21730.55","21806.95","21375.00","21640.05"
"30 Jul 2020","22195.05","22252.60","21580.15","21646.85"
"29 Jul 2020","22075.00","22346.40","21906.35","22076.60"
"28 Jul 2020","21940.15","22233.00","21611.40","22105.20"
"27 Jul 2020","22664.60","22668.05","21801.35","21848.75"
"24 Jul 2020","22853.20","22854.05","22417.20","22662.05"
"23 Jul 2020","22854.85","23122.35","22734.90","23083.90"
"22 Jul 2020","23159.00","23211.35","22658.20","22882.60"
"21 Jul 2020","22639.85","22861.90","22597.95","22782.00"
"20 Jul 2020","22307.30","22520.45","22187.80","22321.85"
"17 Jul 2020","21608.05","22065.00","21550.80","21966.80"
"16 Jul 2020","21453.25","21671.25","21027.85","21597.15"
"15 Jul 2020","21634.25","21935.50","21230.55","21340.75"
"14 Jul 2020","21877.60","21909.70","21222.45","21392.20"
"13 Jul 2020","22613.25","22657.40","21981.65","22089.25"
"10 Jul 2020","22720.95","22835.20","22320.05","22398.45"
"09 Jul 2020","22753.15","22998.30","22673.40","22907.20"
"08 Jul 2020","22700.90","23080.60","22499.50","22584.65"
"07 Jul 2020","22254.30","22674.50","22040.35","22628.00"
"06 Jul 2020","22270.95","22399.25","22171.05","22198.95"
"03 Jul 2020","22101.75","22130.30","21768.00","21852.40"
"02 Jul 2020","22133.80","22344.85","21890.50","21953.20"
"01 Jul 2020","21354.10","22061.60","21281.85","21977.60"
"30 Jun 2020","21524.30","21650.50","21212.00","21370.15"
"29 Jun 2020","21291.55","21440.05","21026.45","21359.00"
"26 Jun 2020","21735.05","21784.65","21320.10","21592.05"
"25 Jun 2020","21218.05","21703.50","20926.45","21506.15"
"24 Jun 2020","22479.35","22479.55","21336.35","21426.80"
"23 Jun 2020","21859.25","22322.30","21647.80","22264.90"
"22 Jun 2020","21491.55","22078.25","21425.55","21708.35"
"19 Jun 2020","20970.10","21467.65","20878.25","21338.10"
"18 Jun 2020","20137.60","21028.35","20030.35","20956.30"
"17 Jun 2020","20137.45","20627.90","19978.15","20201.75"
"16 Jun 2020","20500.65","20638.85","19507.05","20296.70"
"15 Jun 2020","20457.15","20470.85","19740.20","19912.90"
"12 Jun 2020","19529.30","20747.70","19526.10","20654.55"
"11 Jun 2020","21084.70","21244.45","20458.30","20525.15"
"10 Jun 2020","20760.95","21251.45","20671.55","21100.10"
"09 Jun 2020","21295.50","21568.85","20629.70","20724.90"
"08 Jun 2020","21636.10","21807.40","20911.25","21187.35"
"05 Jun 2020","20516.40","21198.70","20425.05","21034.50"
"04 Jun 2020","20932.35","21141.80","20316.20","20390.45"
"03 Jun 2020","20966.60","21619.55","20822.00","20940.70"
"02 Jun 2020","20120.60","20615.75","19852.55","20530.20"
"01 Jun 2020","19728.90","20225.35","19632.90","19959.90"
"29 May 2020","18962.00","19358.05","18729.90","19297.25"
"28 May 2020","18924.45","19455.55","18818.95","19169.80"
"27 May 2020","17603.40","18874.25","17560.35","18710.55"
"26 May 2020","17537.65","17681.70","17311.25","17440.35"
"22 May 2020","17554.25","17952.25","17105.00","17278.90"
"21 May 2020","17901.95","18200.70","17658.55","17735.10"
"20 May 2020","17486.50","18002.65","17407.70","17840.20"
"19 May 2020","18037.15","18175.30","17390.65","17486.25"
"18 May 2020","18795.10","18795.10","17514.20","17573.20"
"15 May 2020","19098.80","19119.10","18683.65","18833.95"
